TC_ID,Feature,Status,Screenshot
TC01,Document conversion,PASS,results\tc01_image_to_pdf_valid_pass.png
TC02,Document conversion,PASS,results\tc02_image_to_pdf_empty_pass.png
TC03,Document conversion,PASS,results\tc03_pdf_to_word_valid_pass.png
TC04,Document conversion,PASS,results\tc04_pdf_to_word_invalid_pass.png
TC05,Document conversion,PASS,results\tc05_word_to_pdf_valid_pass.png
TC06,Document conversion,PASS,results\tc06_word_to_pdf_invalid_pass.png
TC07,PDF editing,PASS,results\tc07_pdf_editor_open_pass.png
TC08,PDF editing,PASS,results\tc08_pdf_editor_valid_pass.png
TC09,PDF editing,PASS,results\tc09_pdf_editor_empty_pass.png
TC10,Image resizing,PASS,results\tc10_resize_image_valid_pass.png
TC11,Image resizing,PASS,results\tc11_resize_image_empty_pass.png
TC12,Image resizing,PASS,results\tc12_bulk_resize_valid_pass.png
TC13,Image resizing,PASS,results\tc13_bulk_resize_empty_pass.png
TC14,Image resizing,PASS,results\tc14_image_enlarger_valid_pass.png
TC15,Image resizing,PASS,results\tc15_image_enlarger_empty_pass.png
TC16,Cropping,PASS,results\tc16_crop_jpg_valid_pass.png
TC17,Cropping,PASS,results\tc17_crop_jpg_empty_pass.png
TC18,Cropping,PASS,results\tc18_crop_png_valid_pass.png
TC19,Cropping,PASS,results\tc19_crop_webp_valid_pass.png
TC20,Compression,PASS,results\tc20_compress_image_valid_pass.png
TC21,Compression,PASS,results\tc21_compress_image_empty_pass.png
TC22,Compression,PASS,results\tc22_png_compressor_valid_pass.png
TC23,Compression,PASS,results\tc23_gif_compressor_valid_pass.png
TC24,Compression,PASS,results\tc24_gif_compressor_empty_pass.png
TC25,Image format conversion,PASS,results\tc25_convert_image_valid_pass.png
TC26,Image format conversion,PASS,results\tc26_convert_jpg_valid_pass.png
TC27,Image format conversion,PASS,results\tc27_convert_png_valid_pass.png
TC28,Image format conversion,PASS,results\tc28_convert_webp_valid_pass.png
TC29,Image format conversion,PASS,results\tc29_convert_image_invalid_pass.png
TC30,Image rotation,PASS,results\tc30_rotate_image_valid_pass.png
TC31,Image rotation,PASS,results\tc31_rotate_image_empty_pass.png
TC32,Image flipping,PASS,results\tc32_flip_image_valid_pass.png
TC33,Image flipping,PASS,results\tc33_flip_image_empty_pass.png
TC34,Meme generation,PASS,results\tc34_meme_generator_valid_pass.png
TC35,Meme generation,PASS,results\tc35_meme_generator_empty_pass.png
TC36,Color picker,PASS,results\tc36_color_picker_open_pass.png
